,0
0,m002441334133143
1,m002441334104002
2,m002441333120203
3,m002441334424140
4,m002441330220411
5,m002441333311423
6,m002441330443444
7,m002441333343232
8,m002441333100233
9,m002441331314110
10,m002441333301312
11,m002441330412330
12,m002441330121010
13,m002441334433022
14,m002441332010322
15,m002441334200240
16,m002441334441423
17,m002441330031330
18,m002441333030431
19,m002441331402031
20,m002441331300011
21,m002441331401343
22,m002441332440301
23,m002441331424031
24,m002441333240404
25,m002441333102041
26,m002441334130344
27,m002441331210442
28,m002441334222303
29,m002441334204404
30,m002441334143203
31,m002441334211411
32,m002441333100042
33,m002441330101232
34,m002441330042340
35,m002441331020042
36,m002441331322132
37,m002441332214124
38,m002441334042214
39,m002441330242212
40,m002441330231414
41,m002441330021424
42,m002441330240021
43,m002441334223341
44,m002441331103401
45,m002441330102244
46,m002441332030230
47,m002441333223322
48,m002441334321241
49,m002441330433420
50,m002441332004023
51,m002441330302030
52,m002441331214134
53,m002441332304023
54,m002441330343321
55,m002441332243234
56,m002441332142444
57,m002441330010414
58,m002441333030330
59,m002441334221230
60,m002441332042124
61,m002441330023200
62,m002441331344411
63,m002441333010102
64,m002441332004242
65,m002441333412104
66,m002441331102211
67,m002441330112022
68,m002441332201322
69,m002441331423401
70,m002441333230404
71,m002441334341111
72,m002441332420021
73,m002441332211220
74,m002441332000213
75,m002441330132232
76,m002441332111200
77,m002441332344123
78,m002441330324132
79,m002441332404221
80,m002441334401020
81,m002441333414004
82,m002441331300010
83,m002441330132403
84,m002441334323240
85,m002441331411102
86,m002441332430203
87,m002441330412444
88,m002441330214022
89,m002441333242442
90,m002441331040224
91,m002441330340132
92,m002441331111121
93,m002441334242104
94,m002441334011423
95,m002441332412240
96,m002441334304203
97,m002441332314233
98,m002441332230213
99,m002441331301203
